No,;Time;;Time 1;Time 2;Delay ;;Delay 1;Delay 2;Jitter
188;1,278944;;1,278944;1,278976;3,2E-05;;-0,031286;0,031318;0,062604
189;1,278976;;1,278976;1,310294;0,031318;;0,031318;0;-0,031318
190;1,310294;;1,310294;1,310294;0;;0;0;0
191;1,310294;;1,310294;1,310294;0;;0;0;0
192;1,310294;;1,310294;1,310294;0;;-0,016792;0,016792;0,033584
193;1,310294;;1,310294;1,327086;0,016792;;0,016647;0,000145;-0,016502
194;1,327086;;1,327086;1,327231;0,000145;;9,5E-05;5E-05;-4,5E-05
195;1,327231;;1,327231;1,327281;5E-05;;-5,5E-05;0,000105;0,00016
196;1,327281;;1,327281;1,327386;0,000105;;-0,014647;0,014752;0,029399
197;1,327386;;1,327386;1,342138;0,014752;;0,014752;0;-0,014752
198;1,342138;;1,342138;1,342138;0;;0;0;0
199;1,342138;;1,342138;1,342138;0;;0;0;0
200;1,342138;;1,342138;1,342138;0;;0;0;0
201;1,342138;;1,342138;1,342138;0;;0;0;0
202;1,342138;;1,342138;1,342138;0;;0;0;0
203;1,342138;;1,342138;1,342138;0;;0;0;0
204;1,342138;;1,342138;1,342138;0;;0;0;0
205;1,342138;;1,342138;1,342138;0;;0;0;0
206;1,342138;;1,342138;1,342138;0;;0;0;0
207;1,342138;;1,342138;1,342138;0;;0;0;0
208;1,342138;;1,342138;1,342138;0;;0;0;0
209;1,342138;;1,342138;1,342138;0;;-0,027698;0,027698;0,055396
210;1,342138;;1,342138;1,369836;0,027698;;0,027422;0,000276;-0,027146
211;1,369836;;1,369836;1,370112;0,000276;;0,00022;5,6E-05;-0,000164
212;1,370112;;1,370112;1,370168;5,6E-05;;7E-06;4,9E-05;4,2E-05
213;1,370168;;1,370168;1,370217;4,9E-05;;2E-06;4,7E-05;4,5E-05
214;1,370217;;1,370217;1,370264;4,7E-05;;-0,002935;0,002982;0,005917
215;1,370264;;1,370264;1,373246;0,002982;;0,002982;0;-0,002982
216;1,373246;;1,373246;1,373246;0;;0;0;0
217;1,373246;;1,373246;1,373246;0;;0;0;0
218;1,373246;;1,373246;1,373246;0;;-0,000248;0,000248;0,000496
219;1,373246;;1,373246;1,373494;0,000248;;-0,014634;0,014882;0,029516
220;1,373494;;1,373494;1,388376;0,014882;;-0,016222;0,031104;0,047326
221;1,388376;;1,388376;1,419480;0,031104;;0,031104;0;-0,031104
222;1,419480;;1,419480;1,419480;0;;0;0;0
223;1,419480;;1,419480;1,419480;0;;0;0;0
224;1,419480;;1,419480;1,419480;0;;-0,025307;0,025307;0,050614
225;1,419480;;1,419480;1,444787;0,025307;;0,021647;0,00366;-0,017987
226;1,444787;;1,444787;1,448447;0,00366;;0,00366;0;-0,00366
227;1,448447;;1,448447;1,448447;0;;0;0;0
228;1,448447;;1,448447;1,448447;0;;0;0;0
229;1,448447;;1,448447;1,448447;0;;-0,017887;0,017887;0,035774
230;1,448447;;1,448447;1,466334;0,017887;;-0,028862;0,046749;0,075611
231;1,466334;;1,466334;1,513083;0,046749;;0,046749;0;-0,046749
232;1,513083;;1,513083;1,513083;0;;-0,003229;0,003229;0,006458
233;1,513083;;1,513083;1,516312;0,003229;;0,003229;0;-0,003229
234;1,516312;;1,516312;1,516312;0;;0;0;0
235;1,516312;;1,516312;1,516312;0;;0;0;0
236;1,516312;;1,516312;1,516312;0;;0;0;0
237;1,516312;;1,516312;1,516312;0;;0;0;0
238;1,516312;;1,516312;1,516312;0;;0;0;0
239;1,516312;;1,516312;1,516312;0;;0;0;0
240;1,516312;;1,516312;1,516312;0;;0;0;0
241;1,516312;;1,516312;1,516312;0;;0;0;0
242;1,516312;;1,516312;1,516312;0;;0;0;0
243;1,516312;;1,516312;1,516312;0;;0;0;0
244;1,516312;;1,516312;1,516312;0;;0;0;0
245;1,516312;;1,516312;1,516312;0;;0;0;0
246;1,516312;;1,516312;1,516312;0;;-0,008742;0,008742;0,017484
247;1,516312;;1,516312;1,525054;0,008742;;-0,010005;0,018747;0,028752
248;1,525054;;1,525054;1,543801;0,018747;;0,018747;0;-0,018747
249;1,543801;;1,543801;1,543801;0;;0;0;0
250;1,543801;;1,543801;1,543801;0;;0;0;0
251;1,543801;;1,543801;1,543801;0;;-9,9E-05;9,9E-05;0,000198
252;1,543801;;1,543801;1,543900;9,9E-05;;-0,015079;0,015178;0,030257
253;1,543900;;1,543900;1,559078;0,015178;;-0,000723;0,015901;0,016624
254;1,559078;;1,559078;1,574979;0,015901;;0,015481;0,00042;-0,015061
255;1,574979;;1,574979;1,575399;0,00042;;-0,0066;0,00702;0,01362
256;1,575399;;1,575399;1,582419;0,00702;;0,00702;0;-0,00702
257;1,582419;;1,582419;1,582419;0;;0;0;0
258;1,582419;;1,582419;1,582419;0;;-0,008851;0,008851;0,017702
259;1,582419;;1,582419;1,591270;0,008851;;-0,005996;0,014847;0,020843
